Percentile,1999 to 2000,2000 to 2001,2001 to 2002,2002 to 2003,2003 to 2004,2004 to 2005,2005 to 2006,2006 to 2007,2007 to 2008,2009 to 2010,2010 to 2011,2011 to 2012,2012 to 2013,2013 to 2014,2014 to 2015,2015 to 2016,2016 to 2017,2017 to 2018,2018 to 2019,2019 to 2020,2020 to 2021,2021 to 2022,2022 to 2023
 1 , 4600 , 4620 , 4780 , 4860 , 4820 , 4980 , 5200 , 5410 , 5600 , 6800 , 6730 , 7740 , 8370 , 9710 , 10300 , 10800 , 11200 , 11700 , 12100 , 12800 , 12700 , 12800 , 12800 
 2 , 4840 , 4840 , 5040 , 5120 , 5070 , 5250 , 5510 , 5720 , 5930 , 7090 , 7000 , 8000 , 8670 , 10000 , 10600 , 11100 , 11500 , 12000 , 12300 , 13000 , 13000 , 13100 , 13200 
 3 , 5080 , 5060 , 5320 , 5410 , 5330 , 5520 , 5800 , 6030 , 6250 , 7380 , 7260 , 8280 , 8970 , 10300 , 10800 , 11300 , 11700 , 12300 , 12600 , 13300 , 13300 , 13400 , 13500 
 4 , 5360 , 5280 , 5590 , 5680 , 5590 , 5800 , 6070 , 6310 , 6560 , 7680 , 7550 , 8560 , 9260 , 10600 , 11000 , 11500 , 11900 , 12500 , 12800 , 13600 , 13600 , 13700 , 13800 
 5 , 5630 , 5520 , 5850 , 5960 , 5850 , 6070 , 6350 , 6600 , 6870 , 7970 , 7830 , 8840 , 9570 , 10800 , 11200 , 11700 , 12200 , 12800 , 13100 , 13800 , 13800 , 14000 , 14100 
 6 , 5860 , 5740 , 6090 , 6210 , 6100 , 6340 , 6630 , 6890 , 7180 , 8270 , 8120 , 9150 , 9880 , 11000 , 11400 , 11900 , 12400 , 13000 , 13300 , 14100 , 14100 , 14200 , 14300 
 7 , 6040 , 5940 , 6320 , 6420 , 6360 , 6620 , 6910 , 7170 , 7480 , 8580 , 8420 , 9450 , 10200 , 11200 , 11600 , 12100 , 12600 , 13200 , 13500 , 14300 , 14400 , 14500 , 14600 
 8 , 6220 , 6130 , 6490 , 6600 , 6620 , 6870 , 7170 , 7430 , 7750 , 8890 , 8720 , 9740 , 10500 , 11400 , 11800 , 12300 , 12800 , 13500 , 13800 , 14500 , 14600 , 14800 , 14900 
 9 , 6390 , 6310 , 6680 , 6780 , 6820 , 7080 , 7400 , 7650 , 7990 , 9200 , 9040 , 10000 , 10700 , 11600 , 12000 , 12500 , 13100 , 13700 , 14000 , 14800 , 14800 , 15000 , 15200 
 10 , 6570 , 6480 , 6860 , 6970 , 7000 , 7260 , 7610 , 7880 , 8240 , 9510 , 9350 , 10200 , 10900 , 11800 , 12200 , 12800 , 13300 , 13900 , 14200 , 15000 , 15100 , 15300 , 15500 
 11 , 6720 , 6650 , 7050 , 7180 , 7190 , 7460 , 7810 , 8100 , 8470 , 9750 , 9630 , 10400 , 11100 , 12000 , 12400 , 13000 , 13500 , 14100 , 14500 , 15300 , 15300 , 15600 , 15800 
 12 , 6890 , 6820 , 7250 , 7370 , 7380 , 7650 , 8020 , 8310 , 8700 , 9970 , 9840 , 10700 , 11300 , 12200 , 12600 , 13200 , 13700 , 14400 , 14700 , 15500 , 15600 , 15800 , 16100 
 13 , 7090 , 7010 , 7470 , 7580 , 7580 , 7830 , 8220 , 8510 , 8940 , 10200 , 10000 , 10900 , 11600 , 12400 , 12800 , 13400 , 13900 , 14600 , 15000 , 15800 , 15800 , 16100 , 16400 
 14 , 7260 , 7180 , 7670 , 7780 , 7780 , 8030 , 8430 , 8720 , 9160 , 10400 , 10300 , 11100 , 11800 , 12600 , 13100 , 13600 , 14200 , 14800 , 15200 , 16000 , 16100 , 16400 , 16600 
 15 , 7430 , 7370 , 7870 , 7990 , 7980 , 8220 , 8630 , 8940 , 9390 , 10600 , 10500 , 11300 , 12000 , 12800 , 13300 , 13800 , 14400 , 15100 , 15400 , 16200 , 16300 , 16600 , 16900 
